"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","observation","firstReported","firstReportedBy","Collection.List","firstReportedCollectionNumber","firstReportedGBIF","firstObservediNat","firstObservedBy","firstObservedID","notes","ID","statsCode"
"Aulorhynchus flavidus","Gill, 1861","","tubesnout","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Gasterosteiformes","","","Aulorhynchidae","","","Aulorhynchus","flavidus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1994-02-27","Charlie Gibbs","PMLS","",NA,"2009-11-13","Karolle Wall","iNat:97205567","",117568,"FIS"
"Beringraja binoculata","(Girard, 1855)","","big skate","Animalia","Chordata","Vertebrata","","Elasmobranchii","Neoselachii","","Rajiformes","","","Rajidae","","","Beringraja","binoculata",NA,"",NA,"native","SNR",NA,"reported","unobserved","1995-02-23","Charlie Gibbs","PMLS","",NA,"","","","",607477,"FIS"
"Beringraja rhina","Jordan & Gilbert, 1880","","longnose skate","Animalia","Chordata","Vertebrata","","Elasmobranchii","Neoselachii","","Rajiformes","","","Rajidae","","","Beringraja","rhina",NA,"",NA,"native","SNR",NA,"reported","unobserved","2010-11-12","Andy Lamb","PMLS","",NA,"","","","",883875,"FIS"
"Brachyistius frenatus","Gill, 1862","","kelp perch","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Embiotocidae","","","Brachyistius","frenatus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",NA,"2020-08-13","Andrew Simon","iNat:56373905","",117553,"FIS"
"Brosmophycis marginata","(Ayres, 1854)","","red brotula","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Ophidiiformes","","","Bythitidae","Brosmophycinae","","Brosmophycis","marginata",NA,"",NA,"native","SNR",NA,"reported","unobserved","2010-05-30","Andy Lamb","PMLS","",NA,"","","","",215459,"FIS"
"Chirolophis decoratus","(Jordan & Snyder, 1902)","","decorated warbonnet","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Stichaeidae","Chirolophinae","","Chirolophis","decoratus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1993-08-16","Andy Lamb","PMLS","",NA,"2023-08-09","Dave ""Zeuss"" Cochrane","iNat:177622908","",216742,"FIS"
"Chirolophis nugator","(Jordan & Williams, 1895)","","mosshead warbonnet","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Stichaeidae","Chirolophinae","","Chirolophis","nugator",NA,"",NA,"native","SNR",NA,"confirmed","observed","1981-05-31","Andy Lamb","PMLS","",NA,"2019-05-04","Isabelle M. Côté","iNat:24798244","",216743,"FIS"
"Chitonotus pugetensis","(Steindachner, 1876)","","roughback sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Chitonotus","pugetensis",NA,"",NA,"native","SNR",NA,"reported","unobserved","1985-12-07","Andy Lamb","PMLS","",NA,"","","","",216746,"FIS"
"Citharichthys stigmaeus","Jordan & Gilbert, 1882","","speckled sanddab","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Pleuronectiformes","","","Paralichthyidae","","","Citharichthys","stigmaeus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1993-05-09","Andy Lamb","PMLS","",NA,"2016-07-05","Karolle Wall","iNat:4014940","",47526,"FIS"
"Clevelandia ios","(Jordan & Gilbert, 1882)","","arrow goby","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Gobiidae","Gobionellinae","","Clevelandia","ios",NA,"",NA,"native","SNR",NA,"new 2017","observed","","","","",NA,"2017-05-26","Karolle Wall","iNat:7648112","",117564,"FIS"
"Clinocottus acuticeps","(Gilbert, 1896)","","sharpnose sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Cottoidei","","Psychrolutidae","Oligocottinae","","Clinocottus","acuticeps",NA,"",NA,"","",NA,"new 2022","observed","","","","",NA,"2022-05-16","Andrew Simon","iNat:117396307","",117532,"FIS"
"Clupea pallasii","Valenciennes, 1847","","Pacific herring","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Clupeiformes","","","Clupeidae","Clupeinae","","Clupea","pallasii",NA,"",NA,"native","SNR",NA,"confirmed","observed","1973-09-21","Andy Lamb","PMLS","",NA,"2021-09-25","smrhaddon","iNat:96127861","",117571,"FIS"
"Cymatogaster aggregata","Gibbons, 1854","","shiner perch","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Embiotocidae","","","Cymatogaster","aggregata",NA,"",NA,"native","SNR",NA,"confirmed","observed","1982-06-09","K.D. Genereux","CMN","CMNFI 1985-0087.1",NA,"2018-08-29","Tom Appleby","iNat:16014197","",98855,"FIS"
"Embiotoca lateralis","Agassiz, 1854","","striped seaperch","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Embiotocidae","","","Embiotoca","lateralis",NA,"",NA,"native","SNR",NA,"confirmed","observed","1982-06-08","Claudia E. Kasserra","CMN","CMNFI 1985-0086.1",NA,"2020-05-07","Penelope Bridge","iNat:45278748","",117555,"FIS"
"Engraulis mordax","Girard, 1854","","northern anchovy","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Clupeiformes","","","Engraulidae","Engraulinae","","Engraulis","mordax",NA,"",NA,"native","SNR",NA,"confirmed","observed","2006-12-02","Charlie Gibbs","PMLS","",NA,"2021-06-09","Elsa Hunter","iNat:82359831","",63770,"FIS"
"Enophrys bison","(Girard, 1854)","","buffalo sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Enophrys","bison",NA,"",NA,"native","SNR",NA,"confirmed","observed","1981-05-31","Andy Lamb","PMLS","",NA,"2013-10-13","Peter Luckham","iNat:2976525","",117536,"FIS"
"Gadus chalcogrammus","Pallas, 1814","","walleye pollock","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Gadiformes","","","Gadidae","","","Gadus","chalcogrammus",NA,"",NA,"native","SNR",NA,"reported","unobserved","1973-09-20","Andy Lamb","PMLS","",NA,"","","","reported as Theragra chalcogramma",614161,"FIS"
"Gadus macrocephalus","Tilesius, 1810","","Pacific cod","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Gadiformes","","","Gadidae","","","Gadus","macrocephalus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1994-02-26","Charlie Gibbs","PMLS","",NA,"2009-10-03","Jackson W.F. Chu","iNat:59920052","",180029,"FIS"
"Gasterosteus aculeatus","Linnaeus, 1758","","three-spined stickleback","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Gasterosteiformes","","","Gasterosteidae","","","Gasterosteus","aculeatus",NA,"",NA,"native","SNR",NA,"confirmed","observed","2000-01-01","Keith Erickson","1999 / 2000 Urban Salmon Habitat Program Final Report. 2000. Keith Erickson. Galiano Conservancy Association. Galiano Island, BC","",NA,"2016-06-20","Karolle Wall","iNat:4014949","",48403,"FIS"
"Gobiesox maeandricus","(Girard, 1858)","","northern clingfish","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Gobiesociformes","","","Gobiesocidae","Gobiesocinae","","Gobiesox","maeandricus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1995-02-23","Andy Lamb","PMLS","",NA,"2018-05-18","Karolle Wall","iNat:12684292","",67409,"FIS"
"Hemilepidotus hemilepidotus","(Tilesius, 1811)","","red Irish lord","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Hemilepidotus","hemilepidotus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1985-07-29","Andy Lamb","PMLS","",NA,"2008-11-09","Neil McDaniel","iNat:182377978","",221165,"FIS"
"Hexagrammos decagrammus","(Pallas, 1810)","","kelp greenling","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Hexagrammidae","Hexagramminae","","Hexagrammos","decagrammus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1982-06-08","C. E. Kasserra","CMN","CMNFI 1985-0086.4",NA,"2017-07-07","Karolle Wall","iNat:6967042","",68596,"FIS"
"Hexagrammos stelleri","Tilesius, 1810","","whitespotted greenling","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Hexagrammidae","Hexagramminae","","Hexagrammos","stelleri",NA,"",NA,"native","SNR",NA,"confirmed","observed","1982-06-09","K.D. Genereux","CMN","CMNFI 1985-0087.2",NA,"2016-07-05","Karolle Wall","iNat:4015063","",186849,"FIS"
"Icelinus tenuis","Gilbert, 1890","","spotfin sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Icelinus","tenuis",NA,"",NA,"native","SNR",NA,"reported","unobserved","1971-08-21","Andy Lamb","PMLS","",NA,"","","","",222146,"FIS"
"Jordania zonope","Starks, 1895","","longfin sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Jordania","zonope",NA,"",NA,"native","SNR",NA,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",NA,"2013-10-13","Peter Luckham","iNat:2976049","",222465,"FIS"
"Lepidopsetta bilineata","(Ayres, 1855)","","rock sole","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Pleuronectiformes","","","Pleuronectidae","Pleuronectinae","","Lepidopsetta","bilineata",NA,"",NA,"native","SNR",NA,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",NA,"2022-06-05","Dave ""Zeuss"" Cochrane","iNat:120454720","",183018,"FIS"
"Leptocottus armatus","Girard, 1854","","Pacific staghorn sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Leptocottus","armatus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1982-06-09","K.D. Genereux","CMN","CMNFI 1985-0087.3",NA,"2022-05-28","Andrew Simon","iNat:119177606","",49163,"FIS"
"Liparis dennyi","Jordan & Starks, 1895","","marbled snailfish","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Liparidae","","","Liparis","dennyi",NA,"",NA,"native","SNR",NA,"reported","unobserved","1995-02-23","Charlie Gibbs","PMLS","",NA,"","","","",180028,"FIS"
"Liparis pulchellus","Ayres, 1855","","showy snailfish","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Liparidae","","","Liparis","pulchellus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1995-02-23","Andy Lamb","PMLS","",NA,"2013-10-13","Peter Luckham","iNat:2976683","",223899,"FIS"
"Lumpenus sagitta","Wilimovsky, 1956","","snake prickleback","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Stichaeidae","Lumpeninae","","Lumpenus","sagitta",NA,"",NA,"native","SNR",NA,"new 2017","observed","","","","",NA,"2017-05-29","Karolle Wall","iNat:7647298","",224164,"FIS"
"Lyopsetta exilis","(Jordan & Gilbert, 1880)","","slender sole","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Pleuronectiformes","","","Pleuronectidae","Pleuronectinae","","Lyopsetta","exilis",NA,"",NA,"native","SNR",NA,"confirmed","observed","2008-05-24","Jackson W.F. Chu","Chu (2010)","",NA,"2007-10-23","Jackson W.F. Chu","iNat:59908556","",104926,"FIS"
"Myoxocephalus polyacanthocephalus","(Pallas, 1814)","","great sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Myoxocephalus","polyacanthocephalus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1982-06-09","K.D. Genereux","CMN","CMNFI 1985-0087.4",NA,"2018-08-10","Karolle Wall","iNat:15702534","",47640,"FIS"
"Nautichthys oculofasciatus","(Girard, 1858)","","sailfin sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Hemitripteridae","","","Nautichthys","oculofasciatus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1995-02-24","Andy Lamb","PMLS","",NA,"2015-04-15","Karolle Wall","iNat:3706257","",183019,"FIS"
"Odontopyxis trispinosa","Lockington, 1880","","pygmy poacher","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Agonidae","Bathyagoninae","","Odontopyxis","trispinosa",NA,"",NA,"native","SNR",NA,"confirmed","observed","2006-06-30","Andy Lamb","PMLS","",NA,"2017-07-25","Karolle Wall","iNat:7238958","",226210,"FIS"
"Oligocottus maculosus","Girard, 1856","","tidepool sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Oligocottus","maculosus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1960-12-22","Donald E. McAllister & M. O. Yesaki","CMN","CMNFI 1960-0499C.1",NA,"2015-08-28","Lauren Magner","iNat:3735095","",67629,"FIS"
"Oligocottus snyderi","Greeley, 1898","","fluffy sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Cottoidei","","Psychrolutidae","Oligocottinae","","Oligocottus","snyderi",NA,"",NA,"","",NA,"new 2023","observed","","","","",NA,"2023-02-08","Rebecca Reader-Lee","iNat:148479199","",117538,"FIS"
"Oncorhynchus clarkii","(Richardson, 1836)","","cutthroat trout","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Salmoniformes","","","Salmonidae","Salmoninae","","Oncorhynchus","clarkii",NA,"",NA,"native","SNR",NA,"reported","unobserved","2000-01-01","Keith Erickson","1999 / 2000 Urban Salmon Habitat Program Final Report. 2000. Keith Erickson. Galiano Conservancy Association. Galiano Island, BC","",NA,"","","","",68075,"FIS"
"Oncorhynchus gorbuscha","(Walbaum, 1792)","","pink salmon","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Salmoniformes","","","Salmonidae","Salmoninae","","Oncorhynchus","gorbuscha",NA,"",NA,"native","SNR",NA,"new 2022","observed","","","","",NA,"2022-05-28","Andrew Simon","iNat:119177597","",107570,"FIS"
"Oncorhynchus keta","(Walbaum, 1792)","","chum salmon","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Salmoniformes","","","Salmonidae","Salmoninae","","Oncorhynchus","keta",NA,"",NA,"native","SNR",NA,"reported","unobserved","2013-05-17","Andy Lamb","PMLS","",NA,"","","","",107572,"FIS"
"Oncorhynchus kisutch","(Walbaum, 1792)","","coho salmon","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Salmoniformes","","","Salmonidae","Salmoninae","","Oncorhynchus","kisutch",NA,"",NA,"native","SNR",NA,"confirmed","observed","2000-01-01","Keith Erickson","1999 / 2000 Urban Salmon Habitat Program Final Report. 2000. Keith Erickson. Galiano Conservancy Association. Galiano Island, BC","",NA,"2017-05-29","Karolle Wall","iNat:7647282","",53692,"FIS"
"Oncorhynchus tshawytscha","(Walbaum, 1792)","","chinook salmon","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Salmoniformes","","","Salmonidae","Salmoninae","","Oncorhynchus","tshawytscha",NA,"",NA,"native","SNR",NA,"new 2017","observed","","","","",NA,"2017-02-12","Christina Robinson","iNat:5101395","",54191,"FIS"
"Ophiodon elongatus","Girard, 1854","","lingcod","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Hexagrammidae","Ophiodontinae","","Ophiodon","elongatus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1968-08-02","Andy Lamb","PMLS","",NA,"2013-10-13","Peter Luckham","iNat:2976120","",52539,"FIS"
"Oxylebius pictus","Gill, 1862","","painted greenling","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Hexagrammidae","Oxylebiinae","","Oxylebius","pictus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1971-08-21","Andy Lamb","PMLS","",NA,"2019-05-05","Emily Adamczyk","iNat:24797825","",48452,"FIS"
"Parophrys vetulus","Girard, 1854","","English sole","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Pleuronectiformes","","","Pleuronectidae","Pleuronectinae","","Parophrys","vetulus",NA,"",NA,"native","SNR",NA,"reported","unobserved","1982-06-09","J. M. Ellis","CMN","CMNFI 1985-0088.1",NA,"","","","",117545,"FIS"
"Phanerodon vacca","(Girard, 1855)","","pile perch","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Embiotocidae","","","Phanerodon","vacca",NA,"",NA,"native","SNR",NA,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",NA,"2020-08-13","Andrew Simon","iNat:56373907","reported as Damalichthys vacca",111616,"FIS"
"Pholis clemensi","Rosenblatt, 1964","","longfin gunnel","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Pholidae","","","Pholis","clemensi",NA,"",NA,"native","SNR",NA,"confirmed","observed","1994-10-07","Andy Lamb","PMLS","",NA,"2023-09-10","Dave ""Zeuss"" Cochrane","iNat:182740581","",67405,"FIS"
"Pholis laeta","(Cope, 1873)","","crescent gunnel","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Pholidae","","","Pholis","laeta",NA,"",NA,"native","SNR",NA,"confirmed","observed","1982-06-09","K.D. Genereux","CMN","CMNFI 1985-0087.6",NA,"2013-07-07","Karolle Wall","iNat:4032541","",67362,"FIS"
"Pholis ornata","(Girard, 1854)","","saddleback gunnel","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Pholidae","","","Pholis","ornata",NA,"",NA,"native","SNR",NA,"new 2022","observed","","","","",NA,"2022-05-16","Andrew Simon","iNat:117406386","",62605,"FIS"
"Phytichthys chirus","(Jordan & Gilbert, 1880)","","ribbon prickleback","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Stichaeidae","Xiphisterinae","","Phytichthys","chirus",NA,"",NA,"native","SNR",NA,"reported","unobserved","1960-12-22","Donald E. McAllister & M. O. Yesaki","CMN","CMNFI 1960-0499C.2",NA,"","","","",228101,"FIS"
"Platichthys stellatus","(Pallas, 1787)","","starry flounder","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Pleuronectiformes","","","Pleuronectidae","Pleuronectinae","","Platichthys","stellatus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1982-06-09","J. M. Ellis","CMN","CMNFI 1985-0088.2",NA,"2020-08-02","pacificwhitesideddolphin","iNat:55397670","",83170,"FIS"
"Pleuronichthys coenosus","Girard, 1854","","C-O sole","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Pleuronectiformes","","","Pleuronectidae","Pleuronectinae","","Pleuronichthys","coenosus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1994-02-27","Andy Lamb","PMLS","",NA,"2013-06-22","Karolle Wall","iNat:4015105","",228393,"FIS"
"Podothecus accipenserinus","(Tilesius, 1813)","","sturgeon poacher","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Agonidae","Agoninae","","Podothecus","accipenserinus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1995-02-23","Charlie Gibbs","PMLS","",NA,"2023-09-03","Dave ""Zeuss"" Cochrane","iNat:181672660","",228455,"FIS"
"Porichthys notatus","Girard, 1854","","plainfin midshipman","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Batrachoidiformes","","","Batrachoididae","Porichthyinae","","Porichthys","notatus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1995-02-23","Andy Lamb","PMLS","",NA,"2007-06-04","Karolle Wall","iNat:97172662","",60021,"FIS"
"Psychrolutes sigalutes","(Jordan & Starks, 1895)","","soft sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Psychrolutidae","","","Psychrolutes","sigalutes",NA,"",NA,"native","SNR",NA,"new 2011","observed","","","","",NA,"2011-09-22","Karolle Wall","iNat:4051923","",229295,"FIS"
"Ptilichthys goodei","Bean, 1881","","quillfish","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Ptilichthyidae","","","Ptilichthys","goodei",NA,"",NA,"native","SNR",NA,"reported","unobserved","2006-06-23","Andy Lamb","PMLS","",NA,"","","","",229394,"FIS"
"Rhamphocottus richardsonii","Günther, 1874","","grunt sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Rhamphocottidae","","","Rhamphocottus","richardsonii",NA,"",NA,"native","SNR",NA,"confirmed","observed","1981-05-31","Andy Lamb","PMLS","",NA,"2010-07-14","Karolle Wall","iNat:4052031","",51881,"FIS"
"Rhinogobiops nicholsii","(Bean, 1882)","","blackeye goby","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Gobiidae","Gobiinae","","Rhinogobiops","nicholsii",NA,"",NA,"native","SNR",NA,"confirmed","observed","1968-08-02","Andy Lamb","PMLS","",NA,"2013-10-13","Peter Luckham","iNat:2976016","",132521,"FIS"
"Ronquilus jordani","(Gilbert, 1889)","","northern ronquil","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Bathymasteridae","","","Ronquilus","jordani",NA,"",NA,"native","SNR",NA,"reported","unobserved","1971-08-21","Andy Lamb","PMLS","",NA,"","","","",230312,"FIS"
"Scorpaenichthys marmoratus","(Ayres, 1854)","","cabezon","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Scorpaenichthys","marmoratus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",NA,"2023-08-05","Quinn Galbraith-Robertson","iNat:177077126","",47638,"FIS"
"Sebastes auriculatus","Girard, 1854","","brown rockfish","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Sebastidae","Sebastinae","","Sebastes","auriculatus",NA,"",NA,"native","SNR",NA,"reported","unobserved","1973-09-20","Andy Lamb","PMLS","",NA,"","","","",117541,"FIS"
"Sebastes caurinus","Richardson, 1844","","copper rockfish","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Sebastidae","Sebastinae","","Sebastes","caurinus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1968-08-02","Andy Lamb","PMLS","",NA,"2016-05-06","Karolle Wall","iNat:3707593","",68597,"FIS"
"Sebastes diploproa","(Gilbert, 1890)","","splitnose rockfish","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Sebastidae","Sebastinae","","Sebastes","diploproa",NA,"",NA,"native","SNR",NA,"reported","unobserved","1971-08-21","Andy Lamb","PMLS","",NA,"","","","",64448,"FIS"
"Sebastes elongatus","Ayres, 1859","","greenstriped rockfish","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Sebastidae","Sebastinae","","Sebastes","elongatus",NA,"",NA,"native","SNR",NA,"confirmed","observed","2008-05-22","Jackson W.F. Chu","Chu (2010)","",NA,"2008-05-22","Jackson W.F. Chu","iNat:116334865","",230755,"FIS"
"Sebastes emphaeus","(Starks, 1911)","","Puget Sound rockfish","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Sebastidae","Sebastinae","","Sebastes","emphaeus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1993-08-16","Andy Lamb","PMLS","",NA,"2015-05-16","Peter Luckham","iNat:2854781","",64468,"FIS"
"Sebastes flavidus","(Ayres, 1862)","","yellowtail rockfish","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Sebastidae","Sebastinae","","Sebastes","flavidus",NA,"",NA,"native","SNR",NA,"confirmed","observed","1971-08-21","Andy Lamb","PMLS","",NA,"2022-05-28","Andrew Simon","iNat:119177618","",64477,"FIS"
